"meanBWDY"	"medianBWDY"	"sdBWDY"	"quant2.5BWDY"	"quant25BWDY"	"quant50BWDY"	"quant75BWDY"	"quant97.5BWDY"	"GrazeTime"	"Plot"	"Sample"	"Year"	"Treatment"	"Block"
-0.54775798099352	-0.553166069295101	0.0875437574205869	-0.718377088305489	-0.587901701323251	-0.553166069295101	-0.511216056670602	-0.365853658536585	"1WK"	"4"	"2"	"2018"	"NO"	2
-0.472137079056254	-0.497797356828194	0.235315396073888	-0.801659423152904	-0.601281024819856	-0.497797356828194	-0.377952755905512	0.0566037735849057	"1WK"	"4"	"3"	"2017"	"NO"	2
-0.500690502053511	-0.518386714116251	0.126262258422932	-0.678622668579627	-0.56312625250501	-0.518386714116251	-0.461434370771312	-0.228501228501228	"1WK"	"4"	"3"	"2018"	"NO"	2
-0.455373314182772	-0.481481481481481	0.259578338225108	-0.79476861167002	-0.613733905579399	-0.481481481481481	-0.355371900826446	0.162790697674419	"1WK"	"4"	"4"	"2017"	"NO"	2
-0.468526765452315	-0.498637602179836	0.167642544058634	-0.671511627906977	-0.552305961754781	-0.498637602179836	-0.428571428571428	-0.0731707317073171	"1WK"	"4"	"4"	"2018"	"NO"	2
-0.482230867355022	-0.511111111111111	0.246581023187359	-0.787941787941788	-0.658398299078668	-0.511111111111111	-0.376	0.0857142857142857	"1WK"	"4"	"5"	"2017"	"NO"	2
-0.463322182644996	-0.49746192893401	0.171244224192656	-0.666666666666667	-0.557935735150925	-0.49746192893401	-0.412639405204461	-0.0576923076923077	"1WK"	"4"	"5"	"2018"	"NO"	2
-0.482703177746286	-0.531531531531532	0.288081998064372	-0.788819875776398	-0.642441860465116	-0.531531531531532	-0.415929203539823	0.393939393939394	"1WK"	"5"	"1"	"2017"	"LO"	2
-0.539106586239414	-0.555075593952484	0.152188515645715	-0.748213304013194	-0.628571428571429	-0.555075593952484	-0.481481481481481	-0.208791208791209	"1WK"	"5"	"1"	"2018"	"LO"	2
-0.535251569676237	-0.581581581581581	0.258322334336038	-0.784355179704017	-0.708185053380783	-0.581581581581581	-0.452991452991453	0.106145251396648	"1WK"	"5"	"2"	"2017"	"LO"	2
-0.524810287052044	-0.557562076749436	0.190692686132639	-0.750841750841751	-0.640316205533597	-0.557562076749436	-0.457725947521866	-0.1	"1WK"	"5"	"2"	"2018"	"LO"	2
-0.483542398848051	-0.525241675617615	0.252967883764903	-0.761124121779859	-0.639072847682119	-0.525241675617615	-0.403508771929825	0.153439153439153	"1WK"	"5"	"3"	"2017"	"LO"	2
-0.543170991604702	-0.569560047562426	0.168529241827946	-0.759150250035543	-0.646803900325027	-0.569560047562426	-0.478696741854637	-0.168831168831169	"1WK"	"5"	"3"	"2018"	"LO"	2
-0.507456680914323	-0.546261089987326	0.252299458983988	-0.790353517349774	-0.673003802281369	-0.546261089987326	-0.417322834645669	0.0967741935483871	"1WK"	"5"	"4"	"2017"	"LO"	2
-0.489609249164539	-0.509629080408187	0.17476061806205	-0.72927847346452	-0.585993820803296	-0.509629080408187	-0.428571428571429	-0.111111111111111	"1WK"	"5"	"4"	"2018"	"LO"	2
-0.471764172433378	-0.506849315068493	0.282864386875791	-0.798816568047337	-0.663366336633663	-0.506849315068493	-0.364605543710021	0.259259259259259	"1WK"	"5"	"5"	"2017"	"LO"	2
-0.480993827477165	-0.510204081632653	0.195679439895071	-0.732899022801303	-0.593780369290573	-0.510204081632653	-0.415094339622641	-0.0344827586206896	"1WK"	"5"	"5"	"2018"	"LO"	2
-0.529800192413185	-0.612446958981612	0.326295773073571	-0.798816568047337	-0.719702098849018	-0.612446958981612	-0.472	0.813084112149533	"1WK"	"6"	"1"	"2017"	"HI"	2
-0.527768716163346	-0.546961325966851	0.168819607081508	-0.755485893416928	-0.63963963963964	-0.546961325966851	-0.448275862068966	-0.170212765957447	"1WK"	"6"	"1"	"2018"	"HI"	2
-0.53623706510785	-0.580246913580247	0.251950391593632	-0.787941787941788	-0.684053651266766	-0.580246913580247	-0.466666666666667	0.0867579908675799	"1WK"	"6"	"2"	"2017"	"HI"	2
