"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"2"	"1"	"LO"	"1WK"	"3"	"PER1"	4.027096407
"2"	"1"	"LO"	"4WK"	"3"	"PER1"	7.560979145
"2"	"1"	"LO"	"PRE"	"3"	"PEROX"	9.609951558
"2"	"1"	"LO"	"24H"	"3"	"PEROX"	12.6369863
"2"	"1"	"LO"	"1WK"	"3"	"PEROX"	11.44171887
"2"	"1"	"LO"	"4WK"	"3"	"PEROX"	9.561495808
"2"	"1"	"LO"	"PRE"	"3"	"PHENOX"	4.598032943
"2"	"1"	"LO"	"24H"	"3"	"PHENOX"	2.733994383
"2"	"1"	"LO"	"1WK"	"3"	"PHENOX"	7.414622468
"2"	"1"	"LO"	"4WK"	"3"	"PHENOX"	2.000516662
"2"	"1"	"LO"	"PRE"	"3"	"PHOS"	218.7877082
"2"	"1"	"LO"	"24H"	"3"	"PHOS"	5.351363922
"2"	"1"	"LO"	"1WK"	"3"	"PHOS"	63.42447173
"2"	"1"	"LO"	"4WK"	"3"	"PHOS"	0
"2"	"1"	"LO"	"PRE"	"4"	"AG"	10.57894932
"2"	"1"	"LO"	"24H"	"4"	"AG"	17.30430663
"2"	"1"	"LO"	"1WK"	"4"	"AG"	23.14804861
"2"	"1"	"LO"	"4WK"	"4"	"AG"	0
"2"	"1"	"LO"	"PRE"	"4"	"BG"	244.0183362
"2"	"1"	"LO"	"24H"	"4"	"BG"	470.2328458
"2"	"1"	"LO"	"1WK"	"4"	"BG"	357.3682241
"2"	"1"	"LO"	"4WK"	"4"	"BG"	324.7382773
"2"	"1"	"LO"	"PRE"	"4"	"BX"	37.95024642
"2"	"1"	"LO"	"24H"	"4"	"BX"	56.0873589
"2"	"1"	"LO"	"1WK"	"4"	"BX"	57.60101369
"2"	"1"	"LO"	"4WK"	"4"	"BX"	39.30966645
"2"	"1"	"LO"	"PRE"	"4"	"CBH"	8.731943649
"2"	"1"	"LO"	"24H"	"4"	"CBH"	27.88502138
"2"	"1"	"LO"	"1WK"	"4"	"CBH"	27.61709444
"2"	"1"	"LO"	"4WK"	"4"	"CBH"	29.6494019
"2"	"1"	"LO"	"PRE"	"4"	"LAP"	471.7429826
"2"	"1"	"LO"	"24H"	"4"	"LAP"	539.6522935
"2"	"1"	"LO"	"1WK"	"4"	"LAP"	514.9809433
"2"	"1"	"LO"	"4WK"	"4"	"LAP"	543.7804212
"2"	"1"	"LO"	"PRE"	"4"	"NAG"	15.7708473
"2"	"1"	"LO"	"24H"	"4"	"NAG"	5.085384708
"2"	"1"	"LO"	"1WK"	"4"	"NAG"	25.12785129
"2"	"1"	"LO"	"4WK"	"4"	"NAG"	10.77360562
"2"	"1"	"LO"	"PRE"	"4"	"PER1"	7.898797055
"2"	"1"	"LO"	"24H"	"4"	"PER1"	6.724948036
"2"	"1"	"LO"	"1WK"	"4"	"PER1"	1.70011556
"2"	"1"	"LO"	"4WK"	"4"	"PER1"	0.814231204
"2"	"1"	"LO"	"PRE"	"4"	"PEROX"	12.47571583
"2"	"1"	"LO"	"24H"	"4"	"PEROX"	8.462342153
"2"	"1"	"LO"	"1WK"	"4"	"PEROX"	9.988537825
"2"	"1"	"LO"	"4WK"	"4"	"PEROX"	5.658931491
"2"	"1"	"LO"	"PRE"	"4"	"PHENOX"	4.576918775
"2"	"1"	"LO"	"24H"	"4"	"PHENOX"	1.737394117
"2"	"1"	"LO"	"1WK"	"4"	"PHENOX"	8.288422265
"2"	"1"	"LO"	"4WK"	"4"	"PHENOX"	4.844700287
"2"	"1"	"LO"	"PRE"	"4"	"PHOS"	72.95117071
"2"	"1"	"LO"	"24H"	"4"	"PHOS"	0.110298672
"2"	"1"	"LO"	"1WK"	"4"	"PHOS"	139.3825396
"2"	"1"	"LO"	"4WK"	"4"	"PHOS"	0
"2"	"1"	"LO"	"PRE"	"5"	"AG"	22.98105701
"2"	"1"	"LO"	"24H"	"5"	"AG"	22.02943861
"2"	"1"	"LO"	"1WK"	"5"	"AG"	56.20260806
"2"	"1"	"LO"	"4WK"	"5"	"AG"	0
"2"	"1"	"LO"	"PRE"	"5"	"BG"	321.2214462
"2"	"1"	"LO"	"24H"	"5"	"BG"	381.5082801
"2"	"1"	"LO"	"1WK"	"5"	"BG"	576.1115733
"2"	"1"	"LO"	"4WK"	"5"	"BG"	354.4536854
"2"	"1"	"LO"	"PRE"	"5"	"BX"	55.35671431
"2"	"1"	"LO"	"24H"	"5"	"BX"	52.68241234
"2"	"1"	"LO"	"1WK"	"5"	"BX"	102.6601917
"2"	"1"	"LO"	"4WK"	"5"	"BX"	76.06079079
"2"	"1"	"LO"	"PRE"	"5"	"CBH"	49.37410805
"2"	"1"	"LO"	"24H"	"5"	"CBH"	30.02695982
"2"	"1"	"LO"	"1WK"	"5"	"CBH"	54.66475135
"2"	"1"	"LO"	"4WK"	"5"	"CBH"	47.12440437
"2"	"1"	"LO"	"PRE"	"5"	"LAP"	597.9584817
"2"	"1"	"LO"	"24H"	"5"	"LAP"	459.8983497
"2"	"1"	"LO"	"1WK"	"5"	"LAP"	301.6324053
"2"	"1"	"LO"	"4WK"	"5"	"LAP"	701.1843168
"2"	"1"	"LO"	"PRE"	"5"	"NAG"	36.53725774
"2"	"1"	"LO"	"24H"	"5"	"NAG"	0
"2"	"1"	"LO"	"1WK"	"5"	"NAG"	60.97406798
"2"	"1"	"LO"	"4WK"	"5"	"NAG"	15.9893349
"2"	"1"	"LO"	"PRE"	"5"	"PER1"	7.06991232
"2"	"1"	"LO"	"24H"	"5"	"PER1"	8.780023629
"2"	"1"	"LO"	"1WK"	"5"	"PER1"	3.159051343
"2"	"1"	"LO"	"4WK"	"5"	"PER1"	1.475983248
"2"	"1"	"LO"	"PRE"	"5"	"PEROX"	11.99605726
"2"	"1"	"LO"	"24H"	"5"	"PEROX"	13.52703996
"2"	"1"	"LO"	"1WK"	"5"	"PEROX"	7.071107019
"2"	"1"	"LO"	"4WK"	"5"	"PEROX"	12.06327466
"2"	"1"	"LO"	"PRE"	"5"	"PHENOX"	4.926144939
"2"	"1"	"LO"	"24H"	"5"	"PHENOX"	4.747016329
"2"	"1"	"LO"	"1WK"	"5"	"PHENOX"	3.912055676
"2"	"1"	"LO"	"4WK"	"5"	"PHENOX"	10.58729141
"2"	"1"	"LO"	"PRE"	"5"	"PHOS"	105.9123831
