"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"minN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"
"192"	10	4	"HI"	"4WK"	3	0.617732297	0.102920248	0.720652545	123.1313469	8.142560583	362.4069585	56.69201278
"193"	10	4	"HI"	"PRE"	4	0.50792672	0.127055462	0.634982182	471.4289915	19.10315713	48.99549888	16.75349327
"194"	10	4	"HI"	"24H"	4	0.507729442	0.123891464	0.631620906	174.3283411	10.33857377	155.4101602	29.90532235
"195"	10	4	"HI"	"1WK"	4	0.631836582	0.163502893	0.795339475	450.5077249	14.49297489	0	5.970960162
"196"	10	4	"HI"	"4WK"	4	0.565013359	0.152999498	0.718012857	562.8892487	13.70871516	0	32.95891208
"197"	10	4	"HI"	"PRE"	5	0.512767793	0.185801436	0.698569229	478.0944246	21.13203508	69.34207338	26.17881904
"198"	10	4	"HI"	"24H"	5	0.507214436	0.118359033	0.625573469	170.245826	6.731367276	0	18.95469295
"199"	10	4	"HI"	"1WK"	5	0.516442579	0.173862114	0.690304693	569.4229998	13.68639606	0	1.762893692
"200"	10	4	"HI"	"4WK"	5	0.562649926	0.135731508	0.698381434	588.209535	24.09387465	0	47.20448107
"201"	11	4	"LO"	"PRE"	1	0.505313336	0.221214852	0.726528188	327.5140995	18.04430655	155.1942404	31.27391616
"202"	11	4	"LO"	"24H"	1	0.519150864	0.176515753	0.695666617	605.1121597	19.18256257	0	30.13359295
"203"	11	4	"LO"	"1WK"	1	0.565179697	0.195316819	0.760496516	311.6725029	9.891279889	0	17.19918893
"204"	11	4	"LO"	"4WK"	1	0.703201962	0.099905315	0.803107277	204.0939863	12.86464452	185.6801571	43.6751316
"205"	11	4	"LO"	"PRE"	2	0	0.208573952	0.208573952	326.0180008	15.94944967	222.9133761	26.86342221
"206"	11	4	"LO"	"24H"	2	0.563345985	0.185135167	0.748481152	350.972719	18.5290006	66.51854323	36.01426205
"207"	11	4	"LO"	"1WK"	2	0.582913882	0.170953301	0.753867183	224.1275001	8.390575348	343.3302328	17.31907317
"208"	11	4	"LO"	"4WK"	2	0.579940891	0.084409327	0.664350218	174.935352	6.738678933	160.1795166	34.98335997
"209"	11	4	"LO"	"PRE"	3	0	0.220106823	0.220106823	300.72576	17.83191889	330.597788	30.63805849
"210"	11	4	"LO"	"24H"	3	0.524507003	0.148450531	0.672957534	294.2141152	11.96913182	0	29.28562206
"211"	11	4	"LO"	"1WK"	3	0.539460699	0.165897996	0.705358695	329.2487826	10.19969652	0	11.30896595
"212"	11	4	"LO"	"4WK"	3	0.527052557	0.096910214	0.623962771	354.562629	6.783844358	0	38.90288593
"213"	11	4	"LO"	"PRE"	4	0	0.179725545	0.179725545	222.7157193	12.38943187	110.1958451	21.6627533
"214"	11	4	"LO"	"24H"	4	0.529744249	0.155749065	0.685493314	231.0232767	15.02095898	295.4261934	38.3860776
"215"	11	4	"LO"	"1WK"	4	0.59773805	0.143520731	0.741258781	135.6987699	7.966683674	258.3536364	14.8804481
"216"	11	4	"LO"	"4WK"	4	0	0.116678558	0.116678558	252.2547247	10.2663801	193.0377392	42.81388359
"217"	11	4	"LO"	"PRE"	5	0.514232625	0.187155544	0.701388169	205.2855092	11.63977683	163.6678467	20.46722897
"218"	11	4	"LO"	"24H"	5	0.519104747	0.124920659	0.644025406	162.8385757	9.678506748	281.3687275	33.52346853
